ts_code,trade_date,buy_elg_amount,circ_mv,fac_1
002210.SZ,20240105,0.0,465714.0555,0.0
002272.SZ,20240105,284.75,220296.1366,0.0012925782739305653
002300.SZ,20240105,1636.37,597320.6658,0.0027395168017640683
002385.SZ,20240105,1072.98,1882134.1072,0.0005700869007661964
002444.SZ,20240105,312.17,2479752.8406,0.00012588754608482169
002595.SZ,20240105,116.06,1549482.048,7.490244895047664e-05
002698.SZ,20240105,1296.76,1218395.7876,0.001064317533922505
002747.SZ,20240105,103.72,1336709.62,7.759351653353104e-05
002937.SZ,20240105,129.74,715369.1146,0.0001813609189328007
002979.SZ,20240105,430.25,425639.1141,0.0010108328528729074
003001.SZ,20240105,0.0,90257.7559,0.0
003012.SZ,20240105,0.0,962510.2369,0.0
300063.SZ,20240105,1458.01,359318.9454,0.004057704217006755
300148.SZ,20240105,545.76,290108.6317,0.0018812263420151106
300154.SZ,20240105,0.0,234460.4823,0.0
300223.SZ,20240105,283.16,2479450.5161,0.00011420272280545071
300296.SZ,20240105,411.12,1186186.3869,0.0003465897135056727
300425.SZ,20240105,146.1,324732.9837,0.00044990810091214025
300534.SZ,20240105,525.12,303605.8257,0.001729611079725734
300690.SZ,20240105,149.21,190577.6239,0.0007829355668653607
300757.SZ,20240105,415.28,704496.0,0.0005894710544843406
300814.SZ,20240105,322.67,158280.336,0.002038598149046133
301267.SZ,20240105,202.8,990431.442,0.00020475925076700058
301277.SZ,20240105,102.9,102682.08,0.001002122278785159
301315.SZ,20240105,518.36,118118.0,0.004388492863069134
301383.SZ,20240105,3337.69,165642.0,0.020150022337329904
600561.SH,20240105,5.27,187185.7344,2.8153854869829225e-05
600592.SH,20240105,1280.25,448299.1067,0.002855794225030072
600601.SH,20240105,206.1,1201044.4667,0.00017160064070423814
600629.SH,20240105,310.4,478942.0897,0.0006480950550711225
600817.SH,20240105,0.0,491109.3317,0.0
600959.SH,20240105,783.04,1550222.4827,0.0005051145940266526
601188.SH,20240105,3064.25,597408.8712,0.005129234177331379
601336.SH,20240105,2052.48,6439836.6819,0.0003187161571610601
603338.SH,20240105,0.0,2546423.4835,0.0
603368.SH,20240105,116.4,698852.7397,0.00016655869453980764
603636.SH,20240105,1055.87,716041.8165,0.001474592650414014
603668.SH,20240105,0.0,768033.6927,0.0
603733.SH,20240105,0.0,1104851.7373,0.0
603927.SH,20240105,391.02,1667422.4,0.0002345056657509219
603988.SH,20240105,0.0,264129.6,0.0
688128.SH,20240105,196.0,787966.0,0.0002487416969767731
688296.SH,20240105,153.35,102664.19,0.0014937048643738386
688737.SH,20240105,353.37,234215.6903,0.001508737521159999
002004.SZ,20240108,0.0,865842.5918,0.0
002098.SZ,20240108,1.28,241292.0,5.304775956102979e-06
002194.SZ,20240108,259.53,466957.4168,0.0005557894374577583
002210.SZ,20240108,0.0,463052.8323,0.0
002272.SZ,20240108,0.0,216943.0752,0.0
002300.SZ,20240108,2326.17,614655.2438,0.0037845117624293826
002385.SZ,20240108,3489.87,1812670.4582,0.0019252644540064254
002444.SZ,20240108,777.68,2421040.0296,0.000321217324163156
002595.SZ,20240108,0.0,1515345.4384,0.0
002698.SZ,20240108,2065.37,1174641.2428,0.0017582985551203396
002747.SZ,20240108,161.54,1282423.0021,0.00012596467759504794
002937.SZ,20240108,0.0,701712.5961,0.0
002979.SZ,20240108,69.21,405227.3443,0.0001707930152629633
003001.SZ,20240108,0.0,89566.504,0.0
003012.SZ,20240108,0.0,946176.7298,0.0
300063.SZ,20240108,633.28,362644.5795,0.0017462828229037406
300148.SZ,20240108,208.42,288527.6583,0.0007223570912681545
300154.SZ,20240108,0.0,229669.0556,0.0
300223.SZ,20240108,661.76,2395873.5324,0.000276208235138814
300296.SZ,20240108,736.93,1148529.6762,0.0006416290456143809
300425.SZ,20240108,139.2,316665.0835,0.0004395811450427877
300534.SZ,20240108,366.5,291870.8136,0.0012556925287578668
300690.SZ,20240108,68.46,190248.8528,0.0003598444825944306
300757.SZ,20240108,537.98,704496.0,0.0007636381185982603
300814.SZ,20240108,0.0,154369.044,0.0
301267.SZ,20240108,0.0,975634.1595,0.0
301277.SZ,20240108,0.0,100530.36,0.0
301315.SZ,20240108,754.32,122210.0,0.006172326323541445
301383.SZ,20240108,657.6,169129.2,0.0038881517798227626
600561.SH,20240108,0.0,184340.9664,0.0
600592.SH,20240108,1545.27,458687.4995,0.0033688949484876906
600601.SH,20240108,1079.89,1246917.6928,0.0008660475396536134
600629.SH,20240108,0.0,475163.4539,0.0
600817.SH,20240108,0.0,485306.751,0.0
600959.SH,20240108,0.0,1525218.8942,0.0
601188.SH,20240108,1322.97,588197.7212,0.0022491926648423063
601336.SH,20240108,1816.8,6291770.4888,0.0002887581489557019
